id,y,z,x,location
143703,-725.834854588,-1822.408387284,-3148.398269566,barrel
143704,-733.677152794,-1820.250684087,-3146.56970209,barrel
143705,-741.519451,-1822.408387284,-3144.741134614,barrel
143706,-747.260411734,-1828.303342044,-3143.402530316,barrel
143707,-749.361749205,-1836.356,-3142.912567138,barrel
143708,-747.260411734,-1844.408657956,-3143.402530316,barrel
143709,-741.519451,-1850.303612716,-3144.741134614,barrel
143710,-733.677152794,-1852.461315913,-3146.56970209,barrel
143711,-725.834854588,-1850.303612716,-3148.398269566,barrel
143712,-720.093893854,-1844.408657956,-3149.736873864,barrel
143713,-724.547518254,-1836.356,-3144.702156553,barrel
143714,-728.670458412,-1829.023306055,-3143.74082174,barrel
143715,-736.916338726,-1829.023306055,-3141.818152114,barrel
143716,-741.039278883,-1836.356,-3140.856817302,barrel
143717,-736.916338726,-1843.688693945,-3141.818152114,barrel
143718,-728.670458412,-1843.688693945,-3143.74082174,barrel
143719,-732.488877616,-1836.356,-3141.473467789,barrel
143801,-1508.866255113,-1836.356,-2857.055312735,barrel
143802,-1510.769179444,-1828.303342044,-2856.038178489,barrel
143803,-1515.968065399,-1822.408387284,-2853.259316051,barrel
143804,-1523.069875686,-1820.250684087,-2849.463319368,barrel
143805,-1530.171685972,-1822.408387284,-2845.667322685,barrel
143806,-1535.370571927,-1828.303342044,-2842.888460247,barrel
143807,-1537.273496258,-1836.356,-2841.871326001,barrel
143808,-1535.370571927,-1844.408657956,-2842.888460247,barrel
143809,-1530.171685972,-1850.303612716,-2845.667322685,barrel
143810,-1523.069875686,-1852.461315913,-2849.463319368,barrel
143811,-1515.968065399,-1850.303612716,-2853.259316051,barrel
143812,-1510.769179444,-1844.408657956,-2856.038178489,barrel
143813,-1513.767969546,-1836.356,-2850.022332196,barrel
143814,-1517.501612166,-1829.023306055,-2848.026658638,barrel
143815,-1524.968897406,-1829.023306055,-2844.035311522,barrel
143816,-1528.702540026,-1836.356,-2842.039637964,barrel
143817,-1524.968897406,-1843.688693945,-2844.035311522,barrel
143818,-1517.501612166,-1843.688693945,-2848.026658638,barrel
143819,-1520.603087507,-1836.356,-2844.848283286,barrel
143901,-2196.913212077,-1836.356,-2369.180190371,barrel
143902,-2198.488042119,-1828.303342044,-2367.705201076,barrel
143903,-2202.790557809,-1822.408387284,-2363.675455381,barrel
143904,-2208.667903541,-1820.250684087,-2358.170720392,barrel
143905,-2214.545249273,-1822.408387284,-2352.665985402,barrel
143906,-2218.847764963,-1828.303342044,-2348.636239707,barrel
143907,-2220.422595005,-1836.356,-2347.161250412,barrel
143908,-2218.847764963,-1844.408657956,-2348.636239707,barrel
143909,-2214.545249273,-1850.303612716,-2352.665985402,barrel
143910,-2208.667903541,-1852.461315913,-2358.170720392,barrel
143911,-2202.790557809,-1850.303612716,-2363.675455381,barrel
143912,-2198.488042119,-1844.408657956,-2367.705201076,barrel
143913,-2199.827635334,-1836.356,-2361.118195784,barrel
143914,-2202.917538842,-1829.023306055,-2358.224185335,barrel
143915,-2209.097345858,-1829.023306055,-2352.436164439,barrel
143916,-2212.187249366,-1836.356,-2349.542153991,barrel
143917,-2209.097345858,-1843.688693945,-2352.436164439,barrel
143918,-2202.917538842,-1843.688693945,-2358.224185335,barrel
143919,-2205.0907099,-1836.356,-2354.351389612,barrel
144001,-2735.244164208,-1836.356,-1719.849353289,barrel
144002,-2736.383577898,-1828.303342044,-1718.017027028,barrel
144003,-2739.496513987,-1822.408387284,-1713.011018586,barrel
144004,-2743.748863766,-1820.250684087,-1706.172683882,barrel
144005,-2748.001213546,-1822.408387284,-1699.334349178,barrel
144006,-2751.114149635,-1828.303342044,-1694.328340736,barrel
144007,-2752.253563325,-1836.356,-1692.496014475,barrel
144008,-2751.114149635,-1844.408657956,-1694.328340736,barrel
144009,-2748.001213546,-1850.303612716,-1699.334349178,barrel
144010,-2743.748863766,-1852.461315913,-1706.172683882,barrel
144011,-2739.496513987,-1850.303612716,-1713.011018586,barrel
144012,-2736.383577898,-1844.408657956,-1718.017027028,barrel
144013,-2735.97268316,-1836.356,-1711.307756261,barrel
144014,-2738.208275739,-1829.023306055,-1707.712630952,barrel
144015,-2742.679460895,-1829.023306055,-1700.522380335,barrel
144016,-2744.915053474,-1836.356,-1696.927255026,barrel
144017,-2742.679460895,-1843.688693945,-1700.522380335,barrel
144018,-2738.208275739,-1843.688693945,-1707.712630952,barrel
144019,-2739.305044497,-1836.356,-1703.409339485,barrel
144101,-300.662916862,-2119.092,-3216.993044175,barrel
144102,-302.810230127,-2111.039342044,-3216.781552278,barrel
144103,-308.676799069,-2105.144387284,-3216.20374567,barrel
144104,-316.690681276,-2102.986684087,-3215.414447165,barrel
144105,-324.704563484,-2105.144387284,-3214.62514866,barrel
144106,-330.571132425,-2111.039342044,-3214.047342052,barrel
144107,-332.718445691,-2119.092,-3213.835850155,barrel
144108,-330.571132425,-2127.144657956,-3214.047342052,barrel
144109,-324.704563484,-2133.039612716,-3214.62514866,barrel
144110,-316.690681276,-2135.197315913,-3215.414447165,barrel
144111,-308.676799069,-2133.039612716,-3216.20374567,barrel
144112,-302.810230127,-2127.144657956,-3216.781552278,barrel
144113,-307.882915633,-2119.092,-3212.371222306,barrel
144114,-312.096062839,-2111.759306055,-3211.956263525,barrel
144115,-320.522357249,-2111.759306055,-3211.126345963,barrel
144116,-324.735504454,-2119.092,-3210.711387183,barrel
144117,-320.522357249,-2126.424693945,-3211.126345963,barrel
144118,-312.096062839,-2126.424693945,-3211.956263525,barrel
144119,-316.177764015,-2119.092,-3210.20671082,barrel
144201,-1123.037144199,-2119.092,-3029.559375321,barrel
144202,-1125.056551408,-2111.039342044,-3028.799324267,barrel
144203,-1130.573674506,-2105.144387284,-3026.72282617,barrel
144204,-1138.110204814,-2102.986684087,-3023.886277019,barrel
144205,-1145.646735121,-2105.144387284,-3021.049727868,barrel
144206,-1151.163858219,-2111.039342044,-3018.973229771,barrel
144207,-1153.183265429,-2119.092,-3018.213178717,barrel
